customer_id,gender,age,tenure,monthly_charges,total_charges,contract_type,payment_method,internet_service,number_of_dependents,number_of_referrals,transaction_date,transaction_amount,transaction_type,channel,churn,customer_lifetime_value,average_monthly_spending,charges_per_dependent,is_month_to_month,tenure_charges_interaction,log_total_charges
CUST000037,Female,25,52,107.78,5147.0,One year,Mailed check,DSL,4,3,2023-10-31,158.18,Purchase,Web,1,5604.56,98.98076923076923,21.556,0,5604.56,8.546363568716018
CUST000038,Male,41,12,50.72,559.24,Month-to-month,Bank transfer (automatic),Fiber optic,2,7,2023-04-15,83.34,Purchase,Web,0,608.64,46.60333333333333,16.906666666666666,1,608.64,6.328365263347262
CUST000039,Male,28,39,74.93,2812.05,Month-to-month,Bank transfer (automatic),Fiber optic,0,3,2023-07-01,12.54,Purchase,Mobile,0,2922.2700000000004,72.10384615384616,74.93,1,2922.2700000000004,7.942024582949736
CUST000040,Male,68,2,81.48,178.59,Month-to-month,Electronic check,Fiber optic,4,4,2023-09-17,63.65,Purchase,Web,0,162.96,89.295,16.296,1,162.96,5.190676475030645
CUST000041,Male,34,3,99.17,278.19,One year,Electronic check,DSL,3,7,2023-06-19,156.31,Purchase,Mobile,1,297.51,92.73,24.7925,0,297.51,5.631892553627876
CUST000042,Male,25,56,33.92,1716.09,Month-to-month,Electronic check,Fiber optic,2,4,2023-04-29,22.87,Purchase,In-Store,1,1899.52,30.644464285714285,11.306666666666667,1,1899.52,7.448386276530159
CUST000043,Female,52,59,119.51,7422.49,Month-to-month,Electronic check,DSL,4,7,2023-09-08,173.89,Subscription,Web,1,7051.09,125.80491525423729,23.902,1,7051.09,8.91240457598566
CUST000044,Female,52,2,72.3,153.48,Month-to-month,Electronic check,Fiber optic,4,6,2023-07-01,127.02,Purchase,Web,0,144.6,76.74,14.459999999999999,1,144.6,5.040064638120259
CUST000045,Female,50,2,55.16,106.93,Month-to-month,Electronic check,Fiber optic,4,1,2023-08-02,97.25,Subscription,Web,1,110.32,53.465,11.032,1,110.32,4.681482868837255
CUST000046,Female,22,54,109.51,5871.76,One year,Bank transfer (automatic),DSL,2,0,2023-01-22,136.98,Refund,In-Store,0,5913.54,108.7362962962963,36.50333333333334,0,5913.54,8.678079989712213
CUST000047,Female,59,1,97.29,100.2,One year,Bank transfer (automatic),Fiber optic,2,3,2023-08-21,125.64,Purchase,Mobile,0,97.29,100.2,32.43,0,97.29,4.617098756853365
CUST000048,Male,56,19,115.78,2000.98,Month-to-month,Electronic check,DSL,1,6,2023-11-27,38.31,Purchase,Web,0,2199.82,105.31473684210526,57.89,1,2199.82,7.601891969815275
CUST000049,Female,58,2,59.77,130.28,Two year,Electronic check,Fiber optic,3,1,2023-10-11,96.96,Refund,In-Store,1,119.54,65.14,14.9425,0,119.54,4.8773324467818355
CUST000050,Female,45,53,79.75,4553.63,Month-to-month,Electronic check,Fiber optic,0,0,2023-07-06,91.11,Purchase,Web,1,4226.75,85.91754716981133,79.75,1,4226.75,8.423899576976549
CUST000051,Male,24,44,81.51,3414.93,Month-to-month,Mailed check,Fiber optic,4,5,2023-01-08,131.38,Purchase,Mobile,0,3586.44,77.61204545454545,16.302,1,3586.44,8.136205062895222
CUST000052,Female,26,32,118.23,3416.6,One year,Mailed check,Fiber optic,1,2,2023-03-03,18.69,Purchase,Web,1,3783.36,106.76875,59.115,0,3783.36,8.136693829325822
CUST000053,Male,25,70,36.78,2797.79,Month-to-month,Bank transfer (automatic),Fiber optic,0,4,2023-04-10,55.96,Purchase,Web,0,2574.6,39.96842857142857,36.78,1,2574.6,7.936942459905518
CUST000054,Female,29,32,57.51,1840.7,Month-to-month,Electronic check,Fiber optic,1,5,2023-04-29,170.81,Purchase,In-Store,0,1840.32,57.521875,28.755,1,1840.32,7.518444337101561
CUST000055,Male,51,68,47.18,3233.51,One year,Bank transfer (automatic),Fiber optic,2,7,2023-11-04,101.4,Purchase,In-Store,0,3208.24,47.551617647058826,15.726666666666667,0,3208.24,8.081632727147216
CUST000056,Female,50,55,54.16,3088.4,Month-to-month,Credit card (automatic),Fiber optic,4,0,2023-04-17,131.69,Subscription,Web,1,2978.7999999999997,56.152727272727276,10.831999999999999,1,2978.7999999999997,8.03573217628015
CUST000057,Female,65,56,73.68,4221.68,Month-to-month,Electronic check,Fiber optic,0,5,2023-02-22,102.58,Purchase,Web,1,4126.08,75.38714285714286,73.68,1,4126.08,8.348225276547797
CUST000058,Male,72,17,63.54,1176.08,Month-to-month,Bank transfer (automatic),Fiber optic,0,2,2023-05-27,119.38,Purchase,Web,1,1080.18,69.18117647058823,63.54,1,1080.18,7.070792074364224
CUST000059,Male,40,38,65.52,2710.98,Month-to-month,Mailed check,Fiber optic,0,6,2023-10-07,89.6,Purchase,Web,1,2489.7599999999998,71.34157894736842,65.52,1,2489.7599999999998,7.905434274401825
CUST000060,Male,41,24,105.98,2730.32,Month-to-month,Mailed check,Fiber optic,0,0,2023-03-12,119.89,Purchase,Web,0,2543.52,113.76333333333334,105.98,1,2543.52,7.9125402878060935
CUST000061,Male,54,69,113.7,8059.33,Month-to-month,Mailed check,Fiber optic,0,5,2023-10-08,195.76,Purchase,Mobile,0,7845.3,116.80188405797101,113.7,1,7845.3,8.994709777590575
CUST000062,Male,52,70,36.34,2696.91,One year,Bank transfer (automatic),Fiber optic,1,4,2023-11-04,157.61,Purchase,Web,0,2543.8,38.52728571428571,18.17,0,2543.8,7.900232678168314
CUST000063,Male,61,11,48.8,555.82,One year,Bank transfer (automatic),DSL,4,4,2023-09-20,180.86,Purchase,Web,0,536.8,50.52909090909091,9.76,0,536.8,6.322242027915348
CUST000064,Male,57,16,90.4,1467.62,One year,Bank transfer (automatic),Fiber optic,2,1,2023-06-22,186.68,Subscription,Web,0,1446.4,91.72625,30.133333333333336,0,1446.4,7.292078463336874
CUST000065,Male,39,59,62.28,3401.5,One year,Credit card (automatic),Fiber optic,2,5,2023-12-10,65.85,Subscription,Phone,0,3674.52,57.652542372881356,20.76,0,3674.52,8.132265734525621
CUST000066,Female,44,70,52.87,3931.25,One year,Bank transfer (automatic),No,2,3,2023-10-20,34.78,Purchase,Web,0,3700.8999999999996,56.160714285714285,17.62333333333333,0,3700.8999999999996,8.276967060120752
CUST000067,Female,52,3,56.58,180.63,Month-to-month,Credit card (automatic),DSL,2,5,2023-12-08,53.81,Upgrade,Mobile,0,169.74,60.21,18.86,1,169.74,5.201971650761352
CUST000068,Male,18,20,59.03,1210.34,Month-to-month,Bank transfer (automatic),DSL,1,6,2023-01-15,108.78,Purchase,Phone,0,1180.6,60.516999999999996,29.515,1,1180.6,7.099482463850188
CUST000069,Female,52,59,106.38,6678.65,Month-to-month,Bank transfer (automatic),Fiber optic,3,0,2023-03-25,60.78,Refund,Mobile,1,6276.42,113.19745762711864,26.595,1,6276.42,8.806820869948433
CUST000070,Female,54,36,42.3,1568.94,Month-to-month,Mailed check,Fiber optic,4,0,2023-03-27,167.52,Subscription,Web,0,1522.8,43.58166666666667,8.459999999999999,1,1522.8,7.358792681051573
CUST000071,Female,64,19,93.8,1677.65,Month-to-month,Electronic check,Fiber optic,0,6,2023-02-10,90.64,Subscription,In-Store,1,1782.2,88.29736842105264,93.8,1,1782.2,7.4257451779321455
CUST000072,Female,31,67,79.75,5101.69,Month-to-month,Bank transfer (automatic),DSL,3,5,2023-08-02,120.86,Purchase,Mobile,1,5343.25,76.14462686567164,19.9375,1,5343.25,8.537523130639435
CUST000073,Male,20,19,56.69,1015.63,One year,Mailed check,Fiber optic,2,6,2023-10-11,94.02,Purchase,Web,1,1077.11,53.45421052631579,18.896666666666665,0,1077.11,6.924248514709198
CUST000074,Female,18,20,67.78,1322.32,Two year,Mailed check,DSL,3,2,2023-10-26,147.38,Purchase,Web,0,1355.6,66.116,16.945,0,1355.6,7.1878990093956165
CUST000075,Male,22,71,53.06,3419.89,Month-to-month,Credit card (automatic),Fiber optic,4,7,2023-02-19,73.87,Subscription,In-Store,1,3767.26,48.167464788732396,10.612,1,3767.26,8.137656030119807
CUST000076,Female,43,52,85.04,4526.67,Month-to-month,Electronic check,DSL,0,6,2023-07-18,124.24,Purchase,Web,1,4422.08,87.05134615384615,85.04,1,4422.08,8.417962737368496
CUST000077,Female,72,33,37.34,1191.94,Month-to-month,Mailed check,DSL,0,4,2023-05-25,157.21,Purchase,Web,0,1232.22,36.119393939393944,37.34,1,1232.22,7.084176127455123
CUST000078,Female,31,40,30.47,1256.76,Two year,Bank transfer (automatic),Fiber optic,4,6,2023-09-30,14.9,Purchase,Mobile,1,1218.8,31.419,6.093999999999999,0,1218.8,7.137087640045446
CUST000079,Male,56,39,86.51,3296.56,Two year,Bank transfer (automatic),No,4,0,2023-04-19,177.56,Purchase,In-Store,1,3373.8900000000003,84.52717948717948,17.302,0,3373.8900000000003,8.10093808002866
CUST000080,Female,44,1,47.48,49.2,Month-to-month,Mailed check,Fiber optic,2,4,2023-07-26,30.5,Refund,Mobile,0,47.48,49.2,15.826666666666666,1,47.48,3.9160150266976834
CUST000081,Male,26,11,36.38,387.42,One year,Bank transfer (automatic),Fiber optic,0,0,2023-03-05,63.39,Purchase,Phone,1,400.18,35.22,36.38,0,400.18,5.962087228397305
CUST000082,Female,32,57,65.71,3566.21,Month-to-month,Bank transfer (automatic),No,3,1,2023-10-15,158.18,Purchase,Web,0,3745.47,62.56508771929825,16.4275,1,3745.47,8.179539056628467
CUST000083,Male,32,50,34.57,1727.13,Month-to-month,Electronic check,DSL,1,3,2023-07-29,192.71,Purchase,Mobile,0,1728.5,34.5426,17.285,1,1728.5,7.454795178015736
CUST000084,Female,43,23,109.8,2622.83,Month-to-month,Electronic check,No,1,0,2023-01-06,188.22,Purchase,Web,0,2525.4,114.03608695652174,54.9,1,2525.4,7.872390361379872
CUST000085,Male,59,31,32.49,976.64,Month-to-month,Bank transfer (automatic),Fiber optic,4,4,2023-09-27,160.11,Subscription,In-Store,0,1007.19,31.504516129032258,6.498,1,1007.19,6.885141504110551
CUST000086,Male,30,42,82.1,3749.33,Two year,Electronic check,Fiber optic,2,1,2023-09-22,191.87,Purchase,Web,1,3448.2,89.2697619047619,27.366666666666664,0,3448.2,8.229599115092684
CUST000087,Female,68,7,69.46,441.41,One year,Electronic check,Fiber optic,1,0,2023-07-12,67.81,Purchase,Mobile,0,486.21999999999997,63.05857142857143,34.73,0,486.21999999999997,6.092237053930959
CUST000088,Male,49,16,90.48,1423.92,Month-to-month,Mailed check,Fiber optic,0,2,2023-11-04,157.04,Refund,Mobile,1,1447.68,88.995,90.48,1,1447.68,7.261870950775945
CUST000089,Female,56,60,59.53,3905.82,One year,Electronic check,Fiber optic,4,6,2023-03-15,147.39,Purchase,In-Store,1,3571.8,65.09700000000001,11.906,0,3571.8,8.270479022839424
CUST000090,Female,66,2,43.95,88.74,Two year,Mailed check,Fiber optic,3,3,2023-01-05,113.05,Purchase,Web,0,87.9,44.37,10.9875,0,87.9,4.496916600547837
CUST000091,Female,69,1,118.37,116.56,Two year,Mailed check,Fiber optic,4,0,2023-06-24,53.15,Purchase,Web,0,118.37,116.56,23.674,0,118.37,4.766948841550716
CUST000092,Female,49,48,105.5,5133.4,Month-to-month,Mailed check,DSL,3,1,2023-11-23,153.8,Purchase,Mobile,1,5064.0,106.94583333333333,26.375,1,5064.0,8.543718270355592
CUST000093,Female,21,12,107.44,1308.86,Month-to-month,Mailed check,No,4,2,2023-12-31,82.52,Purchase,Web,1,1289.28,109.07166666666666,21.488,1,1289.28,7.1776755402551595
CUST000094,Female,47,69,52.52,3791.77,Month-to-month,Bank transfer (automatic),Fiber optic,4,5,2023-09-13,180.07,Purchase,Web,1,3623.88,54.9531884057971,10.504000000000001,1,3623.88,8.24085190183294
CUST000095,Female,54,37,33.5,1147.2,Month-to-month,Electronic check,DSL,4,1,2023-06-21,145.81,Purchase,Web,1,1239.5,31.005405405405405,6.7,1,1239.5,7.045950777733537
CUST000096,Female,40,32,57.29,1741.62,Month-to-month,Bank transfer (automatic),Fiber optic,3,6,2023-03-29,164.94,Refund,Phone,1,1833.28,54.425625,14.3225,1,1833.28,7.463145006834504
CUST000097,Female,56,9,78.34,716.42,One year,Mailed check,Fiber optic,3,1,2023-10-09,128.09,Purchase,Mobile,1,705.0600000000001,79.60222222222222,19.585,0,705.0600000000001,6.575661443159544
CUST000098,Female,62,19,59.4,1211.47,Month-to-month,Bank transfer (automatic),Fiber optic,4,2,2023-08-01,64.81,Subscription,Web,0,1128.6,63.76157894736842,11.879999999999999,1,1128.6,7.100414880237502
CUST000099,Female,32,48,104.51,5078.55,Month-to-month,Mailed check,Fiber optic,1,1,2023-12-08,105.62,Purchase,Mobile,0,5016.4800000000005,105.80312500000001,52.255,1,5016.4800000000005,8.532977953971685
CUST000100,Male,60,3,54.44,154.78,Month-to-month,Credit card (automatic),DSL,2,2,2023-10-08,55.86,Purchase,Mobile,0,163.32,51.593333333333334,18.146666666666665,1,163.32,5.048444755491802
